authentication openshift-authentication-operator
baremetal openshift-machine-api
cloud-controller-manager openshift-cloud-controller-manager-operator
cloud-credential openshift-cloud-credential-operator
cluster-autoscaler openshift-machine-api
config-operator openshift-config-operator
console openshift-console-operator
csi-snapshot-controller openshift-cluster-storage-operator
dns openshift-dns-operator
etcd openshift-etcd-operator
image-registry openshift-image-registry
ingress openshift-ingress-operator
insights openshift-insights
kube-apiserver openshift-kube-apiserver-operator
kube-controller-manager openshift-kube-controller-manager-operator
kube-scheduler openshift-kube-scheduler-operator
kube-storage-version-migrator openshift-kube-storage-version-migrator-operator
machine-api openshift-machine-api
machine-approver openshift-cluster-machine-approver
machine-config openshift-machine-config-operator
marketplace openshift-marketplace
monitoring openshift-monitoring
network openshift-network-operator
node-tuning openshift-cluster-node-tuning-operator
openshift-apiserver openshift-apiserver-operator
openshift-controller-manager openshift-controller-manager-operator
operator-lifecycle-manager openshift-operator-lifecycle-manager
operator-lifecycle-manager-catalog openshift-operator-lifecycle-manager
operator-lifecycle-manager-packageserver openshift-operator-lifecycle-manager
service-ca openshift-service-ca-operator
storage openshift-cluster-storage-operator
